Series,Episode_Title,Action,image_url,description,linked,year
Season_8,Colony in Space,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1971
Season_8,The Dæmons,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1971
Season_9,Day of the Daleks,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1972
Season_9,The Curse of Peladon,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1972
Season_9,The Sea Devils,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1972
Season_9,The Mutants,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1972
Season_9,The Time Monster,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1972
Season_10,The Three Doctors,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1972
Season_10,Carnival of Monsters,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1973
Season_10,Frontier in Space,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1973
Season_10,Planet of the Daleks,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1973
Season_10,The Green Death,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1973
Season_11,The Time Warrior,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1974
Season_11,Invasion of the Dinosaurs,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1974
Season_11,Death to the Daleks,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1974
Season_11,The Monster of Peladon,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1974
Season_11,Planet of the Spiders,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1974
Season_12,Robot,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1974
Season_12,The Ark in Space,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1975
Season_12,The Sontaran Experiment,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1975
Season_12,Genesis of the Daleks,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1975
Season_12,Revenge of the Cybermen,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1975
Season_13,Terror of the Zygons,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1975
Season_13,Planet of Evil,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1975
Season_13,Pyramids of Mars,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1975
Season_13,The Android Invasion,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1975
Season_13,The Brain of Morbius,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1976
Season_13,The Seeds of Doom,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1976
Season_14,The Masque of Mandragora,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1976
Season_14,The Hand of Fear,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1976
Season_14,The Deadly Assassin,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1976
Season_14,The Face of Evil,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1977
